Port,latitude,longitude,geometry,AOI_projected,AOI
Ende ,-8.83333,121.65,POINT (121.65 -8.83333),"POLYGON ((8115704.035534364 6277833.31586877, 8115704.035534364 6233833.31586877, 8071704.035534364 6233833.31586877, 8071704.035534364 6277833.31586877, 8115704.035534364 6277833.31586877))","POLYGON ((121.62651369954924 -8.65061376011112, 121.83385552949164 -8.809627088436548, 121.67362843677228 -9.01649712469532, 121.46600233673165 -8.856488558086138, 121.62651369954924 -8.65061376011112))"
Fakfak ,-2.93333,132.28333,POINT (132.28333 -2.93333),"POLYGON ((9997828.152465148 5261292.046449231, 9997828.152465148 5217292.046449231, 9953828.152465148 5217292.046449231, 9953828.152465148 5261292.046449231, 9997828.152465148 5261292.046449231))","POLYGON ((132.23342484071838 -2.7719096781832238, 132.4439302593893 -2.882829736679362, 132.33349899148538 -3.09511140549537, 132.122465911719 -2.983443218868238, 132.23342484071838 -2.7719096781832238))"
Gorontalo ,0.5,123.05,POINT (123.05 0.5),"POLYGON ((9615278.916749695 7091073.886464775, 9615278.916749695 7047073.886464775, 9571278.916749695 7047073.886464775, 9571278.916749695 7091073.886464775, 9615278.916749695 7091073.886464775))","POLYGON ((123.02621910775413 0.6582365755608703, 123.2073217457967 0.5242016421236445, 123.07390398790315 0.341359937826944, 122.89255516014893 0.4761978800751461, 123.02621910775413 0.6582365755608703))"
Gresik ,-7.15,112.65,POINT (112.65 -7.15),"POLYGON ((7306547.610408381 7607479.7889935225, 7306547.610408381 7563479.7889935225, 7262547.610408381 7563479.7889935225, 7262547.610408381 7607479.7889935225, 7306547.610408381 7607479.7889935225))","POLYGON ((112.65363860354205 -6.970118345578863, 112.83033717054215 -7.153378714530988, 112.64633980836639 -7.330342202618511, 112.46968441717186 -7.146088748675431, 112.65363860354205 -6.970118345578863))"
Gunung Batu Besar ,-2.61667,116.3,POINT (116.3 -2.61667),"POLYGON ((8341973.605031014 7707298.626714753, 8341973.605031014 7663298.626714753, 8297973.605031014 7663298.626714753, 8297973.605031014 7707298.626714753, 8341973.605031014 7707298.626714753))","POLYGON ((116.29338236838679 -2.4485973172959503, 116.4673232646477 -2.6097659745688224, 116.30665405946003 -2.785180986729173, 116.13264030805345 -2.623112794121944, 116.29338236838679 -2.4485973172959503))"
Jabung Batanghari Marine Terminal ,-0.91667,104.06667,POINT (104.06667 -0.91667),"POLYGON ((6829340.668069292 9469570.396453988, 6829340.668069292 9425570.396453988, 6785340.668069292 9425570.396453988, 6785340.668069292 9469570.396453988, 6829340.668069292 9469570.396453988))","POLYGON ((104.092717711114 -0.755022328438104, 104.22752753117304 -0.9427509372828571, 104.04048453455272 -1.078725847128912, 103.9059502212946 -0.8901732790707596, 104.092717711114 -0.755022328438104))"
Jakarta ,-6.1,106.88333,POINT (106.88333 -6.1),"POLYGON ((6671116.5452754265 8404709.7037306, 6671116.5452754265 8360709.7037306, 6627116.5452754265 8360709.7037306, 6627116.5452754265 8404709.7037306, 6671116.5452754265 8404709.7037306))","POLYGON ((106.90358269219485 -5.923935536211352, 107.05950471573863 -6.120078987131722, 106.86295996087782 -6.276508195764894, 106.7072726292564 -6.079417768508197, 106.90358269219485 -5.923935536211352))"
Jayapura ,-2.53333,140.71667,POINT (140.71667 -2.53333),"POLYGON ((10694365.613547582 3860696.998121466, 10694365.613547582 3816696.998121466, 10650365.613547582 3816696.998121466, 10650365.613547582 3860696.998121466, 10694365.613547582 3860696.998121466))","POLYGON ((140.6455914981162 -2.3812916865407074, 140.8678004865503 -2.4615173424818955, 140.7881021813382 -2.685644101878771, 140.56518583738583 -2.6048447275875954, 140.6455914981162 -2.3812916865407074))"
Kasim Terminal ,-1.3,131.01667,POINT (131.01667 -1.3),"POLYGON ((10153063.13871856 5614364.969754638, 10153063.13871856 5570364.969754638, 10109063.13871856 5570364.969754638, 10109063.13871856 5614364.969754638, 10153063.13871856 5614364.969754638))","POLYGON ((130.97132720801588 -1.1416755605344329, 131.17403929444865 -1.2540578477320168, 131.06224765174306 -1.4586896831378942, 130.8590658486655 -1.3455659841454355, 130.97132720801588 -1.1416755605344329))"
Kendari ,-3.96667,122.58333,POINT (122.58333 -3.96667),"POLYGON ((8890907.944123533 6662645.17440071, 8890907.944123533 6618645.17440071, 8846907.944123533 6618645.17440071, 8846907.944123533 6662645.17440071, 8890907.944123533 6662645.17440071))","POLYGON ((122.55905052074432 -3.796691702810377, 122.75272603475 -3.941986612785832, 122.6077448293205 -4.1370760733120004, 122.41379861723343 -3.9908893564454755, 122.55905052074432 -3.796691702810377))"
